Artist,Title,Track,Album,Year,Genre,Length,Bitrate
A.C. Newman,The Town Halo,10,The Slow Wonder,2004,Rock,03:11,248
A.C. Newman,35 In The Shade,11,The Slow Wonder,2004,Rock,03:22,243
Aaron Goldberg,OAM's Blues,07,Worlds,2006,Jazz,04:27,256
AC/DC,Hells Bells,01,Back in Black,1980,Rock,05:12,260
AC/DC,Shoot To Thrill,02,Back in Black,1980,Rock,05:17,261
AC/DC,What Do You Do For Money Honey,03,Back in Black,1980,Rock,03:35,289
AC/DC,Givin The Dog A Bone,04,Back in Black,1980,Rock,03:31,276
AC/DC,Let Me Put My Love Into You,05,Back in Black,1980,Rock,04:15,277
AC/DC,Back In Black,06,Back in Black,1980,Rock,04:15,273
AC/DC,You Shook Me All Night Long,07,Back in Black,1980,Rock,03:30,267
AC/DC,Have A Drink On Me,08,Back in Black,1980,Rock,03:58,271
AC/DC,Shake A Leg,09,Back in Black,1980,Rock,04:05,259
AC/DC,Rock And Roll Ain't Noise Pollution,10,Back in Black,1980,Rock,04:26,252
AC/DC,It’s a Long Way to the Top (If You Wanna Rock ’n’ Roll),01,T.N.T.,1975,Album Rock,05:16,221
AC/DC,The Jack,03,T.N.T.,1975,Album Rock,05:52,211
AC/DC,T.N.T.,05,T.N.T.,1975,Album Rock,03:36,234
AC/DC,Live Wire,04,T.N.T.,1975,Album Rock,05:51,219
AC/DC,High Voltage,08,T.N.T.,1975,Album Rock,04:19,238
AC/DC,Rocker,06,T.N.T.,1975,Album Rock,02:51,259
AC/DC,Can I Sit Next to You Girl,07,T.N.T.,1975,Album Rock,04:12,255
AC/DC,Rock ’n’ Roll Singer,02,T.N.T.,1975,Album Rock,05:05,236
AC/DC,School Days,09,T.N.T.,1975,Album Rock,05:23,224
AC/DC,Thunderstruck,01,The Razors Edge,1990,,04:52,259
AC/DC,Fire Your Guns,02,The Razors Edge,1990,,02:53,253
AC/DC,Moneytalks,03,The Razors Edge,1990,,03:46,258
AC/DC,The Razors Edge,04,The Razors Edge,1990,,04:22,260
AC/DC,Mistress For Christmas,05,The Razors Edge,1990,,03:59,261
AC/DC,Rock Your Heart Out,06,The Razors Edge,1990,,04:06,265
AC/DC,Are You Ready,07,The Razors Edge,1990,,04:10,270
AC/DC,Got You By The Balls,08,The Razors Edge,1990,,04:30,258
AC/DC,Shot Of Love,09,The Razors Edge,1990,,03:56,267
AC/DC,Let's Make It,10,The Razors Edge,1990,,03:32,259
AC/DC,Goodbye & Good Riddance To Bad Luck,11,The Razors Edge,1990,,03:13,257
AC/DC,If You Dare,12,The Razors Edge,1990,,03:08,280
Adventures,Dream-Blue-Haze,01,Supersonic Home,2015,,01:50,275
Adventures,Heavenly,02,Supersonic Home,2015,,03:36,287
Adventures,Your Sweetness,03,Supersonic Home,2015,,04:10,278
Adventures,My Marble Hole,04,Supersonic Home,2015,,02:22,287
Adventures,Pure,05,Supersonic Home,2015,,03:19,278
Adventures,"Absolution, Warmth Requited",06,Supersonic Home,2015,,02:57,279
Adventures,Walk You To Bed,07,Supersonic Home,2015,,02:51,279
Adventures,Tension,08,Supersonic Home,2015,,02:22,277
Adventures,Long Hair,09,Supersonic Home,2015,,03:47,271
Adventures,Supersonic Home,10,Supersonic Home,2015,,04:08,273
Aisha Duo,Despertar,11,Quiet Songs,2005,Jazz,05:07,256
Aisha Duo,Amanda,17,Quiet Songs,2005,Jazz,04:06,256
Alanis Morissette,All I Really Want,01,Jagged Little Pill,1995,Alternative,04:44,277
Alanis Morissette,You Oughta Know,02,Jagged Little Pill,1995,Alternative,04:09,264
Alanis Morissette,Perfect,03,Jagged Little Pill,1995,Alternative,03:07,250
Alanis Morissette,Hand In My Pocket,04,Jagged Little Pill,1995,Alternative,03:41,250
Alanis Morissette,Right Through You,05,Jagged Little Pill,1995,Alternative,02:55,263
Alanis Morissette,Forgiven,06,Jagged Little Pill,1995,Alternative,05:00,266
Alanis Morissette,You Learn,07,Jagged Little Pill,1995,Alternative,03:59,274
Alanis Morissette,Head Over Feet,08,Jagged Little Pill,1995,Alternative,04:27,275
Alanis Morissette,Mary Jane,09,Jagged Little Pill,1995,Alternative,04:40,257
Alanis Morissette,Ironic,10,Jagged Little Pill,1995,Alternative,03:49,268
Alanis Morissette,Not The Doctor,11,Jagged Little Pill,1995,Alternative,03:47,268
Alanis Morissette,Wake Up,12,Jagged Little Pill,1995,Alternative,04:53,259
Alanis Morissette,You Oughta Know (Alternative),13,Jagged Little Pill,1995,Alternative,08:13,214
Alanis Morissette,Head Over Feet (Acoustic),01,Space Cakes,1995,Rock,04:09,238
Alanis Morissette,Right Through You (Acoustic),02,Space Cakes,1995,Rock,03:06,239
Alanis Morissette,Forgiven (Acoustic),03,Space Cakes,1995,Rock,04:26,241
Alanis Morissette,Perfect (Acoustic),04,Space Cakes,1995,Rock,03:15,229
Alanis Morissette,Not the Doctor (Acoustic),05,Space Cakes,1995,Rock,04:00,233
Alanis Morissette,You Learn (Acoustic),06,Space Cakes,1995,Rock,04:00,244
Alanis Morissette,Front Row,01,Supposed Former Infatuation Junkie,1998,Rock,04:13,320
Alanis Morissette,Baba,02,Supposed Former Infatuation Junkie,1998,Rock,04:29,320
Alanis Morissette,Thank U,03,Supposed Former Infatuation Junkie,1998,Rock,04:18,320
Alanis Morissette,Are You Still Mad,04,Supposed Former Infatuation Junkie,1998,Rock,04:04,320
Alanis Morissette,Sympathetic Character,05,Supposed Former Infatuation Junkie,1998,Rock,05:12,320
Alanis Morissette,That I Would Be Good,06,Supposed Former Infatuation Junkie,1998,Rock,04:17,320
Alanis Morissette,The Couch,07,Supposed Former Infatuation Junkie,1998,Rock,05:24,320
Alanis Morissette,Can't Not,08,Supposed Former Infatuation Junkie,1998,Rock,04:35,320
Alanis Morissette,UR,09,Supposed Former Infatuation Junkie,1998,Rock,03:31,320
Alanis Morissette,I Was Hoping,10,Supposed Former Infatuation Junkie,1998,Rock,03:50,320
Alanis Morissette,One,11,Supposed Former Infatuation Junkie,1998,Rock,04:40,320
Alanis Morissette,Would Not Come,12,Supposed Former Infatuation Junkie,1998,Rock,04:04,320
Alanis Morissette,Unsent,13,Supposed Former Infatuation Junkie,1998,Rock,04:09,320
Alanis Morissette,So Pure,14,Supposed Former Infatuation Junkie,1998,Rock,02:51,320
Alanis Morissette,Joining You,15,Supposed Former Infatuation Junkie,1998,Rock,04:24,320
Alanis Morissette,Heart Of The House,16,Supposed Former Infatuation Junkie,1998,Rock,03:46,320
Alanis Morissette,Your Congratulations,17,Supposed Former Infatuation Junkie,1998,Rock,03:54,320
Alanis Morissette,21 Things I Want In A Lover,01,Under Rug Swept,2002,Adult Alternative Rock,03:28,320
Alanis Morissette,Narcissus,02,Under Rug Swept,2002,Adult Alternative Rock,03:38,320
Alanis Morissette,Hands Clean,03,Under Rug Swept,2002,Adult Alternative Rock,04:31,320
Alanis Morissette,Flinch,04,Under Rug Swept,2002,Adult Alternative Rock,06:03,320
Alanis Morissette,So Unsexy,05,Under Rug Swept,2002,Adult Alternative Rock,05:08,320
Alanis Morissette,Precious Illusions,06,Under Rug Swept,2002,Adult Alternative Rock,04:11,320
Alanis Morissette,That Particular Time,07,Under Rug Swept,2002,Adult Alternative Rock,04:21,320
Alanis Morissette,A Man,08,Under Rug Swept,2002,Adult Alternative Rock,04:33,320
Alanis Morissette,You Owe Me Nothing In Return,09,Under Rug Swept,2002,Adult Alternative Rock,04:57,320
Alanis Morissette,Surrendering,10,Under Rug Swept,2002,Adult Alternative Rock,04:35,320
Alanis Morissette,Utopia,11,Under Rug Swept,2002,Adult Alternative Rock,04:58,320
Alex Chilton,Boogie Shoes,01,Like Flies On Sherbert,1979,Indie Rock,02:32,320
Alex Chilton,My Rival,02,Like Flies On Sherbert,1979,Blues,03:22,320
Alex Chilton,Hey! Little Girl,03,Like Flies On Sherbert,1979,Blues,03:44,320
Alex Chilton,Hook Or Crook,04,Like Flies On Sherbert,1979,Blues,02:27,320
Alex Chilton,I've Had It,05,Like Flies On Sherbert,1979,Blues,02:27,320
Alex Chilton,Rock Hard,06,Like Flies On Sherbert,1979,Blues,02:45,320
Alex Chilton,Girl After Girl,07,Like Flies On Sherbert,1979,Blues,02:28,320
Alex Chilton,Waltz Across Texas,08,Like Flies On Sherbert,1979,Blues,04:47,320
Alex Chilton,Alligator Man,09,Like Flies On Sherbert,1979,Blues,02:43,320
Alex Chilton,Like Flies On Sherbert,10,Like Flies On Sherbert,1979,Blues,02:09,320
Alex Chilton,No More The Moon Shine On Lorena,11,Like Flies On Sherbert,1979,Blues,04:43,320
Alexisonfire,"Drunks, Lovers, Sinners And Saints",01,Crisis,2006-08-22,Hard Rock,03:41,259
Alexisonfire,This Could Be Anywhere In The World,02,Crisis,2006-08-22,Hard Rock,04:08,248
Alexisonfire,Mailbox Arson,03,Crisis,2006-08-22,Hard Rock,03:33,237
Alexisonfire,Boiled Frogs,04,Crisis,2006-08-22,Hard Rock,03:56,238
Alexisonfire,We Are The Sound,05,Crisis,2006-08-22,Hard Rock,03:42,249
Alexisonfire,You Burn First,06,Crisis,2006-08-22,Hard Rock,02:40,239
Alexisonfire,We Are The End,07,Crisis,2006-08-22,Hard Rock,03:46,232
Alexisonfire,Crisis,08,Crisis,2006-08-22,Hard Rock,03:31,243
Alexisonfire,Keep It On Wax,09,Crisis,2006-08-22,Hard Rock,03:48,250
Alexisonfire,To A Friend,10,Crisis,2006-08-22,Hard Rock,03:16,242
Alexisonfire,Rough Hands,11,Crisis,2006-08-22,Hard Rock,05:31,230
Algernon Cadwallader,Casual Discussion In A Dome Between Two Temples,01,Some Kind Of Cadwallader,2008,Rock,02:26,320
Algernon Cadwallader,Some Kind Of Cadwallader,02,Some Kind Of Cadwallader,2008,Rock,02:25,320
Algernon Cadwallader,The Stars,03,Some Kind Of Cadwallader,2008,Rock,02:53,320
Algernon Cadwallader,Horror,04,Some Kind Of Cadwallader,2008,Rock,04:21,320
Algernon Cadwallader,Motivational Song,05,Some Kind Of Cadwallader,2008,Rock,03:43,320
Algernon Cadwallader,Yo Soy Milk,06,Some Kind Of Cadwallader,2008,Rock,02:32,320
Algernon Cadwallader,I've Got Piano,07,Some Kind Of Cadwallader,2008,Rock,02:21,320
Algernon Cadwallader,Katie's Conscience,08,Some Kind Of Cadwallader,2008,Rock,02:14,320
Algernon Cadwallader,Serial Killer Status,09,Some Kind Of Cadwallader,2008,Rock,02:28,320
Algernon Cadwallader,In Response To Irresponsibility,10,Some Kind Of Cadwallader,2008,Rock,13:14,320
Alice In Chains,Them Bones,01,Dirt,1992,Grunge/Rock,02:30,277
Alice In Chains,Dam That River,02,Dirt,1992,Grunge/Rock,03:09,264
Alice In Chains,Rain When I Die,03,Dirt,1992,Grunge/Rock,06:01,274
Alice In Chains,SickMan,04,Dirt,1992,Grunge/Rock,05:29,267
Alice In Chains,Rooster,05,Dirt,1992,Grunge/Rock,06:15,260
Alice In Chains,Junkhead,06,Dirt,1992,Grunge/Rock,05:09,272
Alice In Chains,Dirt,07,Dirt,1992,Grunge/Rock,05:16,279
Alice In Chains,God Smack,08,Dirt,1992,Grunge/Rock,03:50,274
Alice In Chains,Intro (Dream Sequence),09,Dirt,1992,Grunge/Rock,00:43,262
Alice In Chains,Hate To Feel,10,Dirt,1992,Grunge/Rock,05:16,274
Alice In Chains,Angry Chair,11,Dirt,1992,Grunge/Rock,04:47,258
Alice In Chains,Down In A Hole,12,Dirt,1992,Grunge/Rock,05:38,267
Alice In Chains,Would?,13,Dirt,1992,Grunge/Rock,03:27,279
Alice In Chains,We Die Young,01,Facelift,1990,Grunge/Rock,02:32,273
Alice In Chains,Man In The Box,02,Facelift,1990,Grunge/Rock,04:46,271
Alice In Chains,Sea Of Sorrow,03,Facelift,1990,Grunge/Rock,05:49,279
Alice In Chains,Bleed The Freak,04,Facelift,1990,Grunge/Rock,04:01,266
Alice In Chains,I Can't Remember,05,Facelift,1990,Grunge/Rock,03:42,265
Alice In Chains,"Love, Hate, Love",06,Facelift,1990,Grunge/Rock,06:27,261
Alice In Chains,It Ain't Like That,07,Facelift,1990,Grunge/Rock,04:37,274
Alice In Chains,Sunshine,08,Facelift,1990,Grunge/Rock,04:44,273
Alice In Chains,Put You Down,09,Facelift,1990,Grunge/Rock,03:16,266
Alice In Chains,Confusion,10,Facelift,1990,Grunge/Rock,05:44,270
Alice In Chains,I Know Something (Bout You),11,Facelift,1990,Grunge/Rock,04:21,278
Alice In Chains,Real Thing,12,Facelift,1990,Grunge/Rock,04:03,265
Alice In Chains,Rotten Apple,01,Jar Of Flies,1993,Grunge/Rock,06:58,264
Alice In Chains,Nutshell,02,Jar Of Flies,1993,Grunge/Rock,04:19,256
Alice In Chains,I Stay Away,03,Jar Of Flies,1993,Grunge/Rock,04:14,264
Alice In Chains,No Excuses,04,Jar Of Flies,1993,Grunge/Rock,04:15,261
Alice In Chains,Whale & Wasp,05,Jar Of Flies,1993,Grunge/Rock,02:37,256
Alice In Chains,Don't Follow,06,Jar Of Flies,1993,Grunge/Rock,04:22,256
Alice In Chains,Swing On This,07,Jar Of Flies,1993,Grunge/Rock,04:04,259
Alien Ant Farm,Courage,01,ANThology,2001-03-06,Rock,03:30,253
Alien Ant Farm,Movies,02,ANThology,2001-03-06,Rock,03:15,236
Alien Ant Farm,Flesh And Bone,03,ANThology,2001-03-06,Rock,04:28,236
Alien Ant Farm,Whisper,04,ANThology,2001-03-06,Rock,03:24,245
Alien Ant Farm,Summer,05,ANThology,2001-03-06,Rock,04:14,239
Alien Ant Farm,Sticks And Stones,06,ANThology,2001-03-06,Rock,03:14,245
Alien Ant Farm,Attitude,07,ANThology,2001-03-06,Rock,04:54,213
Alien Ant Farm,Stranded,08,ANThology,2001-03-06,Rock,03:56,230
Alien Ant Farm,Wish,09,ANThology,2001-03-06,Rock,03:21,223
Alien Ant Farm,Calico,10,ANThology,2001-03-06,Rock,04:08,234
Alien Ant Farm,Death Day,11,ANThology,2001-03-06,Rock,04:33,225
Alien Ant Farm,Smooth Criminal,12,Anthology,2001,Rock,03:28,192
Alien Ant Farm,Universe / Orange Appeal,13,ANThology,2001-03-06,Rock,09:07,215
Alkaline Trio,Calling All Skeletons,01,Agony And Irony,2008-07-07,Rock,03:18,216
Alkaline Trio,Help Me,02,Agony And Irony,2008-07-07,Rock,03:44,224
Alkaline Trio,In Vein,03,Agony And Irony,2008-07-07,Rock,03:56,226
Alkaline Trio,Over And Out,04,Agony And Irony,2008-07-07,Rock,03:13,213
Alkaline Trio,I Found Away,05,Agony And Irony,2008-07-07,Rock,04:00,219
Alkaline Trio,Do You Wanna Know?,06,Agony And Irony,2008-07-07,Rock,03:36,240
Alkaline Trio,"Live Young, Die Fast",07,Agony And Irony,2008-07-07,Rock,04:13,228
Alkaline Trio,"Love Love, Kiss Kiss",08,Agony And Irony,2008-07-07,Rock,03:25,230
Alkaline Trio,Lost And Rendered,09,Agony And Irony,2008-07-07,Rock,03:22,222
Alkaline Trio,Ruin It,10,Agony And Irony,2008-07-07,Rock,03:36,222
Alkaline Trio,Into The Night,11,Agony And Irony,2008-07-07,Rock,03:22,224
Alkaline Trio,Private Eye,01,From Here To Infirmary,2001,Punk,03:30,244
Alkaline Trio,Mr.Chainsaw,02,From Here To Infirmary,2001,Punk,03:05,257
Alkaline Trio,Take Lots With Alcohol,03,From Here To Infirmary,2001,Punk,03:15,238
Alkaline Trio,Stupid Kid,04,From Here To Infirmary,2001,Punk,02:23,243
Alkaline Trio,Another Innocent Girl,05,From Here To Infirmary,2001,Punk,03:37,240
Alkaline Trio,Steamer Trunk,06,From Here To Infirmary,2001,Punk,02:49,248
Alkaline Trio,You're Dead,07,From Here To Infirmary,2001,Punk,03:52,234
Alkaline Trio,Armageddon,08,From Here To Infirmary,2001,Punk,02:49,251
Alkaline Trio,I'm Dying Tommorow,09,From Here To Infirmary,2001,Punk,02:20,246
Alkaline Trio,Bloodied Up,10,From Here To Infirmary,2001,Punk,02:53,238
Alkaline Trio,Trucks And Trains,11,From Here To Infirmary,2001,Punk,03:16,243
Alkaline Trio,Crawl,12,From Here To Infirmary,2001,Punk,04:26,230
Alkaline Trio,Standard Break,13,From Here To Infirmary,2001,Punk,02:36,245
Alkaline Trio,Hell Yes,14,From Here To Infirmary,2001,Punk,03:52,237
Alkaline Trio,Cringe,01,Goddamnit,2008,Punk Rock,02:24,228
Alkaline Trio,Cop,02,Goddamnit,2008,Punk Rock,02:18,223
Alkaline Trio,San Francisco,03,Goddamnit,2008,Punk Rock,03:52,214
Alkaline Trio,Nose Over Tail,04,Goddamnit,2008,Punk Rock,02:37,228
Alkaline Trio,As You Were,05,Goddamnit,2008,Punk Rock,02:11,234
Alkaline Trio,Enjoy Your Day,06,Goddamnit,2008,Punk Rock,02:17,178
Alkaline Trio,Clavicle,07,Goddamnit,2008,Punk Rock,02:28,220
Alkaline Trio,My Little Needle,08,Goddamnit,2008,Punk Rock,03:00,208
Alkaline Trio,Southern Rock,09,Goddamnit,2008,Punk Rock,03:05,215
Alkaline Trio,Message From Kathlene,10,Goddamnit,2008,Punk Rock,03:22,228
Alkaline Trio,Trouble Breathing,11,Goddamnit,2008,Punk Rock,03:55,226
Alkaline Trio,Sorry About That,12,Goddamnit,2008,Punk Rock,03:23,184
Alkaline Trio,Weak Week (Bonus Track),13,Goddamnit,2008,Punk Rock,02:41,153
Alkaline Trio,Nose Over Tail (Bonus Track),14,Goddamnit,2008,Punk Rock,02:43,161
Alkaline Trio,Ninety-Seven (Bonus Track),15,Goddamnit,2008,Punk Rock,04:49,163
Alkaline Trio,Sundials (Bonus Track),16,Goddamnit,2008,Punk Rock,04:24,214
Alkaline Trio,Keep 'Em Coming,01,Maybe I'll Catch Fire,1999,Rock - Punk,04:10,192
Alkaline Trio,Madam Me,02,Maybe I'll Catch Fire,1999,Rock - Punk,02:59,192
Alkaline Trio,You've Got So Far To Go,03,Maybe I'll Catch Fire,1999,Rock - Punk,03:14,192
Alkaline Trio,Fuck You Aurora,04,Maybe I'll Catch Fire,1999,Rock - Punk,04:49,192
Alkaline Trio,Sleepyhead,05,Maybe I'll Catch Fire,1999,Rock - Punk,03:56,192
Alkaline Trio,Maybe I'll Catch Fire,06,Maybe I'll Catch Fire,1999,Rock - Punk,03:07,192
Alkaline Trio,Tuck Me In,07,Maybe I'll Catch Fire,1999,Rock - Punk,02:39,192
Alkaline Trio,She Took Him To The Lake,08,Maybe I'll Catch Fire,1999,Rock - Punk,02:40,192
Alkaline Trio,5-3-10-4,09,Maybe I'll Catch Fire,1999,Rock - Punk,02:56,192
Alkaline Trio,Radio,10,Maybe I'll Catch Fire,1999,Rock - Punk,04:41,192
Alkaline Trio,This Addiction,01,This Addiction (Deluxe),2010,,02:34,294
Alkaline Trio,"Dine, Dine My Darling",02,This Addiction (Deluxe),2010,,02:58,290
Alkaline Trio,Lead Poisoning,03,This Addiction (Deluxe),2010,,02:37,284
Alkaline Trio,Dead On The Floor,04,This Addiction (Deluxe),2010,,04:20,286
Alkaline Trio,The American Scream,05,This Addiction (Deluxe),2010,,02:59,294
Alkaline Trio,Off The Map,06,This Addiction (Deluxe),2010,,03:15,271
Alkaline Trio,Draculina,07,This Addiction (Deluxe),2010,,03:33,286
Alkaline Trio,Eating Me Alive,08,This Addiction (Deluxe),2010,,02:53,279
Alkaline Trio,Piss And Vinegar,09,This Addiction (Deluxe),2010,,02:27,284
Alkaline Trio,Dorothy,10,This Addiction (Deluxe),2010,,03:31,284
Alkaline Trio,Fine,11,This Addiction (Deluxe),2010,,03:19,282
Alkaline Trio,Kick Rocks,12,This Addiction (Deluxe),2010,,02:44,285
Alkaline Trio,Those Lungs,13,This Addiction (Deluxe),2010,,03:49,272
Alkaline Trio,This Addiction (acoustic),14,This Addiction (Deluxe),2010,,02:37,293
Alkaline Trio,"Dine, Dine My Darling (acoustic)",15,This Addiction (Deluxe),2010,,02:59,269
Alkaline Trio,Dead On The Floor (acoustic),16,This Addiction (Deluxe),2010,,04:07,276
Alkaline Trio,Fine (acoustic),17,This Addiction (Deluxe),2010,,03:12,273
American Football,Never Meant,01,American Football,1999,Alternative & Punk,04:28,256
American Football,The Summer Ends,02,American Football,1999,Alternative & Punk,04:46,205
American Football,Honestly?,03,American Football,1999,Alternative & Punk,06:10,230
American Football,For Sure,04,American Football,1999,Alternative & Punk,03:16,220
American Football,You Know I Should Be Leaving Soon,05,American Football,1999,Alternative & Punk,03:43,237
American Football,But The Regrets Are Killing Me,06,American Football,1999,Alternative & Punk,03:54,235
American Football,I'll See You When We're Both Not So Emotional,07,American Football,1999,Alternative & Punk,03:42,226
American Football,Stay Home,08,American Football,1999,Alternative & Punk,08:10,245
American Football,The One With The Wurlitzer,09,American Football,1999,Alternative & Punk,02:43,231
American Hi-Fi,Surround,01,American Hi-Fi,2001,Rock,03:11,256
American Hi-Fi,Flavor of the Weak,02,American Hi-Fi,2001,Rock,03:08,256
American Hi-Fi,A Bigger Mood,03,American Hi-Fi,2001,Rock,03:37,256
American Hi-Fi,Safer on the Outside,04,American Hi-Fi,2001,Rock,04:01,256
American Hi-Fi,I'm a Fool,05,American Hi-Fi,2001,Rock,04:00,256
American Hi-Fi,Hi-Fi Killer,06,American Hi-Fi,2001,Rock,03:05,256
American Hi-Fi,Blue Day,07,American Hi-Fi,2001,Rock,03:32,256
American Hi-Fi,My Only Enemy,08,American Hi-Fi,2001,Rock,03:27,256
American Hi-Fi,Don't Wait for the Sun,09,American Hi-Fi,2001,Rock,03:50,256
American Hi-Fi,Another Perfect Day,10,American Hi-Fi,2001,Rock,03:38,256
American Hi-Fi,Scar,11,American Hi-Fi,2001,Rock,04:03,256
American Hi-Fi,What About Today,12,American Hi-Fi,2001,Rock,03:34,256
American Hi-Fi,Wall of Sound,13,American Hi-Fi,2001,Rock,05:48,256
Amusement Parks On Fire,23 Jewels,01,Amusement Parks On Fire,2004,Shoegaze,03:46,319
Amusement Parks On Fire,Venus In Cancer,02,Amusement Parks On Fire,2004,Shoegaze,03:37,320
Amusement Parks On Fire,Eighty Eight,03,Amusement Parks On Fire,2004,Shoegaze,04:45,320
Amusement Parks On Fire,Wiper,04,Amusement Parks On Fire,2004,Shoegaze,08:01,320
Amusement Parks On Fire,Venosa,05,Amusement Parks On Fire,2004,Shoegaze,04:22,316
Amusement Parks On Fire,Asphalt (Interlude),06,Amusement Parks On Fire,2004,Shoegaze,05:13,320
Amusement Parks On Fire,Smokescreen,07,Amusement Parks On Fire,2004,Shoegaze,04:11,320
Amusement Parks On Fire,The Ramones Book,08,Amusement Parks On Fire,2004,Shoegaze,03:55,320
Amusement Parks On Fire,Local Boy Makes God,09,Amusement Parks On Fire,2004,Shoegaze,05:21,320
Amusement Parks On Fire,Road Eyes,01,Road Eyes,2010,Alternative,05:20,291
Amusement Parks On Fire,Flashlight Planetarium,02,Road Eyes,2010,Alternative,02:55,287
Amusement Parks On Fire,Inside Out,03,Road Eyes,2010,Alternative,05:24,260
Amusement Parks On Fire,Raphael,04,Road Eyes,2010,Alternative,04:37,286
Amusement Parks On Fire,Wave of the Future,06,Road Eyes,2010,Alternative,04:17,278
Amusement Parks On Fire,So Naturally,07,Road Eyes,2010,Alternative,04:01,268
Amusement Parks On Fire,Water from the Sun,08,Road Eyes,2010,Alternative,06:47,284
Amusement Parks On Fire,Inspects the Evil Side,09,Road Eyes,2010,Alternative,08:43,278
Anamanaguchi,Airbrushed (RAC Remix),01,Airbrushed (Remix),,,04:14,320
Anamanaguchi,Blackout City,01,Dawn Metropolis,2009,Electronic,03:24,245
Anamanaguchi,"Jetpack Blues, Sunset Hues",02,Dawn Metropolis,2009,Electronic,03:28,252
